user_id,channel,marketing_cost_eur
812,tiktok_ads,31.57
821,tiktok_ads,31.57
835,tiktok_ads,31.57
843,tiktok_ads,31.57
845,tiktok_ads,31.57
850,tiktok_ads,31.57
858,tiktok_ads,31.57
866,tiktok_ads,31.57
873,tiktok_ads,31.57
877,tiktok_ads,31.57
884,tiktok_ads,31.57
1176,referral,25.00
1182,referral,25.00
1184,referral,25.00
1197,referral,25.00
1217,referral,25.00
1225,referral,25.00
1231,referral,25.00
1233,referral,25.00
303,email,51.26
314,email,51.26
1422,affiliate,123.30
1430,affiliate,123.30
1440,affiliate,123.30
229,tiktok_ads,44.91
232,tiktok_ads,44.91
233,tiktok_ads,44.91
239,tiktok_ads,44.91
245,tiktok_ads,44.91
249,tiktok_ads,44.91
252,tiktok_ads,44.91
255,tiktok_ads,44.91
1668,tiktok_ads,42.02
1669,tiktok_ads,42.02
1679,tiktok_ads,42.02
1727,tiktok_ads,42.02
1734,tiktok_ads,42.02
1736,tiktok_ads,42.02
1744,tiktok_ads,42.02
1765,tiktok_ads,42.02
1770,tiktok_ads,42.02
1773,tiktok_ads,42.02
1576,meta_ads,31.34
1586,meta_ads,31.34
1588,meta_ads,31.34
1589,meta_ads,31.34
1607,meta_ads,31.34
1620,meta_ads,31.34
1627,meta_ads,31.34
1633,meta_ads,31.34
1639,meta_ads,31.34
1644,meta_ads,31.34
1646,meta_ads,31.34
1651,meta_ads,31.34
1659,meta_ads,31.34
1667,meta_ads,31.34
1566,email,21.80
1622,email,21.80
1636,email,21.80
1641,email,21.80
1653,email,21.80
60,referral,25.00
65,referral,25.00
67,referral,25.00
78,referral,25.00
82,referral,25.00
85,referral,25.00
93,referral,25.00
94,referral,25.00
95,referral,25.00
99,referral,25.00
897,meta_ads,27.79
903,meta_ads,27.79
912,meta_ads,27.79
914,meta_ads,27.79
918,meta_ads,27.79
930,meta_ads,27.79
934,meta_ads,27.79
941,meta_ads,27.79
942,meta_ads,27.79
944,meta_ads,27.79
949,meta_ads,27.79
952,meta_ads,27.79
967,meta_ads,27.79
968,meta_ads,27.79
974,meta_ads,27.79
980,meta_ads,27.79
1373,tiktok_ads,8.20
1376,tiktok_ads,8.20
1377,tiktok_ads,8.20
1391,tiktok_ads,8.20
1397,tiktok_ads,8.20
1416,tiktok_ads,8.20
1420,tiktok_ads,8.20
1437,tiktok_ads,8.20
1439,tiktok_ads,8.20
57,email,29.43
107,email,29.43
2,referral,25.00
4,referral,25.00
5,referral,25.00
16,referral,25.00
17,referral,25.00
20,referral,25.00
21,referral,25.00
23,referral,25.00
24,referral,25.00
33,referral,25.00
36,referral,25.00
38,referral,25.00
41,referral,25.00
42,referral,25.00
48,referral,25.00
52,referral,25.00
1671,referral,25.00
1675,referral,25.00
1677,referral,25.00
1681,referral,25.00
1691,referral,25.00
1693,referral,25.00
1702,referral,25.00
1710,referral,25.00
1712,referral,25.00
1713,referral,25.00
1724,referral,25.00
1738,referral,25.00
1745,referral,25.00
1747,referral,25.00
1757,referral,25.00
1761,referral,25.00
1771,referral,25.00
1772,referral,25.00
231,meta_ads,56.75
242,meta_ads,56.75
268,meta_ads,56.75
276,meta_ads,56.75
280,meta_ads,56.75
283,meta_ads,56.75
291,meta_ads,56.75
810,google_ads,36.07
811,google_ads,36.07
813,google_ads,36.07
814,google_ads,36.07
816,google_ads,36.07
817,google_ads,36.07
818,google_ads,36.07
822,google_ads,36.07
829,google_ads,36.07
833,google_ads,36.07
837,google_ads,36.07
839,google_ads,36.07
840,google_ads,36.07
844,google_ads,36.07
847,google_ads,36.07
849,google_ads,36.07
851,google_ads,36.07
854,google_ads,36.07
855,google_ads,36.07
863,google_ads,36.07
867,google_ads,36.07
874,google_ads,36.07
880,google_ads,36.07
881,google_ads,36.07
882,google_ads,36.07
888,google_ads,36.07
893,google_ads,36.07
1200,affiliate,114.77
1205,affiliate,114.77
1237,affiliate,114.77
251,email,67.93
503,meta_ads,61.02
505,meta_ads,61.02
512,meta_ads,61.02
531,meta_ads,61.02
545,meta_ads,61.02
548,meta_ads,61.02
550,meta_ads,61.02
554,meta_ads,61.02
171,meta_ads,28.00
190,meta_ads,28.00
205,meta_ads,28.00
217,meta_ads,28.00
219,meta_ads,28.00
221,meta_ads,28.00
225,meta_ads,28.00
227,meta_ads,28.00
1936,affiliate,116.72
1972,affiliate,116.72
1985,affiliate,116.72
575,meta_ads,29.41
583,meta_ads,29.41
590,meta_ads,29.41
596,meta_ads,29.41
604,meta_ads,29.41
606,meta_ads,29.41
609,meta_ads,29.41
614,meta_ads,29.41
616,meta_ads,29.41
625,meta_ads,29.41
630,meta_ads,29.41
635,meta_ads,29.41
638,meta_ads,29.41
646,meta_ads,29.41
573,meta_ads,29.41
294,google_ads,31.76
299,google_ads,31.76
304,google_ads,31.76
305,google_ads,31.76
308,google_ads,31.76
311,google_ads,31.76
319,google_ads,31.76
326,google_ads,31.76
329,google_ads,31.76
330,google_ads,31.76
333,google_ads,31.76
334,google_ads,31.76
335,google_ads,31.76
337,google_ads,31.76
340,google_ads,31.76
345,google_ads,31.76
346,google_ads,31.76
350,google_ads,31.76
353,google_ads,31.76
354,google_ads,31.76
1892,meta_ads,22.62
1904,meta_ads,22.62
1908,meta_ads,22.62
1910,meta_ads,22.62
1916,meta_ads,22.62
1917,meta_ads,22.62
1920,meta_ads,22.62
1926,meta_ads,22.62
1939,meta_ads,22.62
1946,meta_ads,22.62
1947,meta_ads,22.62
1951,meta_ads,22.62
1953,meta_ads,22.62
1958,meta_ads,22.62
1969,meta_ads,22.62
1970,meta_ads,22.62
1973,meta_ads,22.62
1981,meta_ads,22.62
1983,meta_ads,22.62
1987,meta_ads,22.62
1991,meta_ads,22.62
1993,meta_ads,22.62
2000,meta_ads,22.62
759,google_ads,30.38
761,google_ads,30.38
765,google_ads,30.38
766,google_ads,30.38
768,google_ads,30.38
772,google_ads,30.38
774,google_ads,30.38
775,google_ads,30.38
779,google_ads,30.38
780,google_ads,30.38
782,google_ads,30.38
785,google_ads,30.38
789,google_ads,30.38
797,google_ads,30.38
800,google_ads,30.38
804,google_ads,30.38
805,google_ads,30.38
807,google_ads,30.38
729,google_ads,30.38
730,google_ads,30.38
731,google_ads,30.38
733,google_ads,30.38
734,google_ads,30.38
737,google_ads,30.38
739,google_ads,30.38
742,google_ads,30.38
746,google_ads,30.38
750,google_ads,30.38
753,google_ads,30.38
754,google_ads,30.38
587,affiliate,61.27
610,affiliate,61.27
617,affiliate,61.27
381,tiktok_ads,72.95
386,tiktok_ads,72.95
389,tiktok_ads,72.95
398,tiktok_ads,72.95
400,tiktok_ads,72.95
364,tiktok_ads,72.95
365,tiktok_ads,72.95
1689,email,97.80
1891,google_ads,21.28
1895,google_ads,21.28
1898,google_ads,21.28
1900,google_ads,21.28
1903,google_ads,21.28
1906,google_ads,21.28
1909,google_ads,21.28
1914,google_ads,21.28
1915,google_ads,21.28
1918,google_ads,21.28
1919,google_ads,21.28
1922,google_ads,21.28
1924,google_ads,21.28
1930,google_ads,21.28
1932,google_ads,21.28
1933,google_ads,21.28
1940,google_ads,21.28
1949,google_ads,21.28
1950,google_ads,21.28
1952,google_ads,21.28
1954,google_ads,21.28
1955,google_ads,21.28
1956,google_ads,21.28
1957,google_ads,21.28
1962,google_ads,21.28
1965,google_ads,21.28
1967,google_ads,21.28
1968,google_ads,21.28
1971,google_ads,21.28
1975,google_ads,21.28
1976,google_ads,21.28
1977,google_ads,21.28
1978,google_ads,21.28
1982,google_ads,21.28
1984,google_ads,21.28
1986,google_ads,21.28
1992,google_ads,21.28
1994,google_ads,21.28
1997,google_ads,21.28
1998,google_ads,21.28
1887,google_ads,21.28
1888,google_ads,21.28
427,google_ads,38.12
428,google_ads,38.12
433,google_ads,38.12
435,google_ads,38.12
437,google_ads,38.12
438,google_ads,38.12
443,google_ads,38.12
444,google_ads,38.12
446,google_ads,38.12
448,google_ads,38.12
449,google_ads,38.12
454,google_ads,38.12
457,google_ads,38.12
464,google_ads,38.12
470,google_ads,38.12
472,google_ads,38.12
473,google_ads,38.12
475,google_ads,38.12
476,google_ads,38.12
478,google_ads,38.12
480,google_ads,38.12
484,google_ads,38.12
487,google_ads,38.12
490,google_ads,38.12
493,google_ads,38.12
494,google_ads,38.12
295,referral,25.00
301,referral,25.00
302,referral,25.00
306,referral,25.00
310,referral,25.00
313,referral,25.00
320,referral,25.00
323,referral,25.00
327,referral,25.00
331,referral,25.00
338,referral,25.00
339,referral,25.00
348,referral,25.00
349,referral,25.00
351,referral,25.00
352,referral,25.00
1360,google_ads,23.60
1362,google_ads,23.60
1365,google_ads,23.60
1366,google_ads,23.60
1368,google_ads,23.60
1369,google_ads,23.60
1370,google_ads,23.60
1372,google_ads,23.60
1378,google_ads,23.60
1379,google_ads,23.60
1383,google_ads,23.60
1385,google_ads,23.60
1390,google_ads,23.60
1393,google_ads,23.60
1399,google_ads,23.60
1401,google_ads,23.60
1407,google_ads,23.60
1408,google_ads,23.60
1410,google_ads,23.60
1413,google_ads,23.60
1415,google_ads,23.60
1419,google_ads,23.60
1421,google_ads,23.60
1424,google_ads,23.60
1426,google_ads,23.60
1432,google_ads,23.60
1433,google_ads,23.60
1435,google_ads,23.60
1438,google_ads,23.60
1442,google_ads,23.60
1443,google_ads,23.60
1444,google_ads,23.60
1445,google_ads,23.60
1446,google_ads,23.60
1450,google_ads,23.60
1455,google_ads,23.60
857,affiliate,199.78
890,affiliate,199.78
1777,referral,25.00
1778,referral,25.00
1782,referral,25.00
1790,referral,25.00
1794,referral,25.00
1802,referral,25.00
1811,referral,25.00
1813,referral,25.00
1814,referral,25.00
1822,referral,25.00
1828,referral,25.00
1829,referral,25.00
1834,referral,25.00
1840,referral,25.00
1841,referral,25.00
1842,referral,25.00
1850,referral,25.00
1854,referral,25.00
1860,referral,25.00
1863,referral,25.00
1877,referral,25.00
1879,referral,25.00
1886,referral,25.00
358,google_ads,31.56
359,google_ads,31.56
360,google_ads,31.56
361,google_ads,31.56
362,google_ads,31.56
366,google_ads,31.56
367,google_ads,31.56
368,google_ads,31.56
370,google_ads,31.56
372,google_ads,31.56
378,google_ads,31.56
379,google_ads,31.56
382,google_ads,31.56
383,google_ads,31.56
388,google_ads,31.56
390,google_ads,31.56
393,google_ads,31.56
399,google_ads,31.56
402,google_ads,31.56
403,google_ads,31.56
404,google_ads,31.56
406,google_ads,31.56
411,google_ads,31.56
416,google_ads,31.56
422,google_ads,31.56
363,meta_ads,50.57
375,meta_ads,50.57
376,meta_ads,50.57
377,meta_ads,50.57
385,meta_ads,50.57
391,meta_ads,50.57
407,meta_ads,50.57
414,meta_ads,50.57
418,meta_ads,50.57
426,meta_ads,50.57
30,affiliate,610.58
153,google_ads,25.92
154,google_ads,25.92
157,google_ads,25.92
158,google_ads,25.92
111,google_ads,25.92
113,google_ads,25.92
121,google_ads,25.92
125,google_ads,25.92
126,google_ads,25.92
127,google_ads,25.92
135,google_ads,25.92
136,google_ads,25.92
139,google_ads,25.92
141,google_ads,25.92
142,google_ads,25.92
143,google_ads,25.92
144,google_ads,25.92
148,google_ads,25.92
150,google_ads,25.92
152,google_ads,25.92
1262,google_ads,24.18
1266,google_ads,24.18
1269,google_ads,24.18
1270,google_ads,24.18
1272,google_ads,24.18
1274,google_ads,24.18
1277,google_ads,24.18
1278,google_ads,24.18
1282,google_ads,24.18
1285,google_ads,24.18
1290,google_ads,24.18
1291,google_ads,24.18
1293,google_ads,24.18
1295,google_ads,24.18
1297,google_ads,24.18
1308,google_ads,24.18
1311,google_ads,24.18
1314,google_ads,24.18
1315,google_ads,24.18
1316,google_ads,24.18
1317,google_ads,24.18
1320,google_ads,24.18
1322,google_ads,24.18
1323,google_ads,24.18
1324,google_ads,24.18
1325,google_ads,24.18
1326,google_ads,24.18
1329,google_ads,24.18
1333,google_ads,24.18
1337,google_ads,24.18
1340,google_ads,24.18
1341,google_ads,24.18
1347,google_ads,24.18
1348,google_ads,24.18
1351,google_ads,24.18
1353,google_ads,24.18
1354,google_ads,24.18
1357,google_ads,24.18
172,tiktok_ads,87.53
175,tiktok_ads,87.53
184,tiktok_ads,87.53
191,tiktok_ads,87.53
207,tiktok_ads,87.53
1515,affiliate,36.92
1502,affiliate,36.92
1510,affiliate,36.92
579,referral,25.00
581,referral,25.00
582,referral,25.00
584,referral,25.00
588,referral,25.00
589,referral,25.00
591,referral,25.00
593,referral,25.00
599,referral,25.00
600,referral,25.00
602,referral,25.00
603,referral,25.00
607,referral,25.00
613,referral,25.00
618,referral,25.00
620,referral,25.00
629,referral,25.00
634,referral,25.00
637,referral,25.00
639,referral,25.00
1139,meta_ads,22.85
1073,meta_ads,22.85
1077,meta_ads,22.85
1079,meta_ads,22.85
1094,meta_ads,22.85
1110,meta_ads,22.85
1117,meta_ads,22.85
1118,meta_ads,22.85
1119,meta_ads,22.85
1124,meta_ads,22.85
1128,meta_ads,22.85
501,referral,25.00
504,referral,25.00
513,referral,25.00
516,referral,25.00
517,referral,25.00
518,referral,25.00
527,referral,25.00
530,referral,25.00
532,referral,25.00
540,referral,25.00
541,referral,25.00
543,referral,25.00
544,referral,25.00
559,referral,25.00
562,referral,25.00
564,referral,25.00
566,referral,25.00
567,referral,25.00
119,email,72.93
138,email,72.93
